emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,initial_listing_status,disbursement_method,id
city traffic engineer,2,NV,RENT,122000,Verified,6.6,NA,,NA,0,51,1996,0,26,3,29600,24629,0,0,51,0,0,0,1,21,3,0,0,2,29000,4,3,2,2,96.2,0,0,credit_card,individual,20000,36,9.43,whole,Cash,1887
asst parts dept manager,10,CA,RENT,70000,Not Verified,19.36,NA,,NA,0,NA,2010,1,11,9,67125,36662,0,1,NA,0,0,3,2,10,9,0,0,2,5300,8,6,3,0,100,0,1,debt_consolidation,individual,9000,36,7.97,fractional,Cash,1888
software engineer,10,TX,MORTGAGE,88500,Verified,24.35,NA,,NA,0,NA,2007,1,16,9,454344,76479,0,0,NA,0,0,2,2,3,9,NA,0,6,67200,9,6,6,1,100,0,0,credit_card,individual,26450,60,16.01,whole,Cash,1889
driver,1,CA,RENT,70000,Not Verified,5.49,NA,,NA,3,15,1982,1,18,7,14399,5080,0,3,41,0,0,0,1,6,7,0,0,3,11200,8,6,3,1,75,2,1,credit_card,individual,3800,36,10.9,fractional,Cash,1890
sales associate,10,MI,RENT,20000,Source Verified,7.14,NA,,NA,0,NA,2004,2,41,28,71700,66748,0,1,NA,0,0,19,1,0,28,0,0,2,13000,18,9,4,0,100,0,1,other,individual,10000,60,13.59,whole,Cash,1891
shipping coordinator,2,IN,MORTGAGE,42000,Source Verified,26.83,NA,,NA,0,39,1998,2,27,10,154201,47019,0,0,88,0,0,2,5,5,10,0,0,3,5300,16,7,5,5,74.1,0,0,medical,individual,3000,36,12.61,whole,Cash,1892
,NA,LA,OWN,37000,Not Verified,37.46,NA,,NA,0,28,1998,2,37,22,293475,48821,0,0,NA,0,0,1,2,2,22,0,0,6,170100,33,21,6,0,97.3,0,0,debt_consolidation,individual,17975,36,10.9,whole,Cash,1893
direct support professional  ,3,NY,RENT,30000,Verified,30.8,NA,,NA,0,NA,2014,0,8,7,32563,22064,0,0,NA,0,0,2,4,19,7,NA,0,3,9800,6,5,3,0,100,0,0,credit_card,individual,7000,36,9.93,whole,Cash,1894
networks,10,NY,RENT,75000,Verified,28.82,175000,Verified,12.35,0,NA,2001,4,37,9,97191,34189,0,0,NA,0,0,4,5,2,9,0,0,0,7500,21,5,1,6,100,0,0,debt_consolidation,joint,40000,36,5.31,whole,Cash,1895
pta,0,TX,MORTGAGE,70000,Source Verified,45.95,135000,Source Verified,26.75,0,NA,2010,3,27,13,443845,188345,0,0,NA,0,0,7,15,4,13,0,0,2,8800,7,5,3,2,100,0,0,debt_consolidation,joint,8000,36,18.45,fractional,Cash,1896
mailroom/ site manager,3,CT,RENT,60000,Source Verified,19.96,NA,,NA,0,61,2002,2,25,11,60999,39652,0,0,NA,0,268,2,6,11,11,0,0,5,22400,14,9,8,0,96,0,0,debt_consolidation,individual,12000,36,10.9,whole,Cash,1897
president,0,FL,MORTGAGE,60000,Source Verified,4.12,NA,,NA,0,NA,1996,2,9,6,27300,9039,0,0,NA,0,0,0,5,1,6,0,0,3,26300,8,6,3,0,100,0,0,car,individual,22000,36,14.07,whole,Cash,1898
sales manager,3,TX,MORTGAGE,110000,Verified,18.85,NA,,NA,0,NA,2002,1,27,10,410014,91480,0,0,NA,0,0,4,8,7,10,0,0,2,24600,11,5,2,7,100,0,0,debt_consolidation,individual,16000,36,12.61,fractional,Cash,1899
officer,9,GA,RENT,74000,Source Verified,30.04,80000,Not Verified,28.22,0,NA,2008,2,35,22,211409,122074,0,0,NA,0,0,10,9,4,22,0,0,3,35000,13,12,5,2,100,0,0,debt_consolidation,joint,10000,60,7.34,whole,Cash,1900
western regional manager,10,WA,MORTGAGE,180000,Verified,43.62,294000,,29.52,1,9,2003,3,39,18,733755,348361,0,0,NA,0,1047,6,6,8,18,0,0,4,51300,17,11,6,3,97.4,0,0,debt_consolidation,joint,40000,60,15.04,whole,DirectPay,1901
power systems engineer,1,CO,RENT,96000,Not Verified,2.81,NA,,NA,0,NA,2013,1,5,4,31800,8396,0,0,NA,0,0,0,0,9,4,0,0,3,31500,4,4,3,0,100,0,0,credit_card,individual,10000,36,6.72,whole,Cash,1902
concrete placement,3,MN,MORTGAGE,60000,Not Verified,28.98,NA,,NA,0,70,2006,1,19,10,67487,36529,0,0,70,0,0,2,1,8,10,0,0,5,37800,12,8,6,2,89.5,0,0,debt_consolidation,individual,7200,36,9.93,whole,Cash,1903
registered nurse,10,MA,RENT,100000,Not Verified,15,NA,,NA,0,55,2000,0,24,7,72033,46618,0,0,55,0,0,2,4,NA,7,0,0,4,33600,13,5,4,0,95.8,0,0,credit_card,individual,20000,60,17.47,whole,Cash,1904
owner ,1,CA,RENT,67000,Not Verified,23.2,NA,,NA,0,NA,2000,0,27,11,90941,51580,0,0,NA,0,0,2,3,17,11,0,0,5,55200,23,9,5,0,100,0,0,credit_card,individual,12000,60,15.04,whole,Cash,1905
senior systems architect,10,TN,MORTGAGE,129000,Not Verified,27.2,NA,,NA,0,NA,2004,2,50,17,359617,182656,0,0,NA,0,0,6,8,3,17,0,0,2,10400,21,10,6,4,100,0,0,credit_card,individual,5400,36,10.91,whole,Cash,1906
director of operations,9,AZ,MORTGAGE,87120,Source Verified,17.48,NA,,NA,0,43,2002,1,10,5,109400,58817,0,0,43,0,0,2,2,0,5,0,0,2,20000,6,3,2,0,70,0,0,debt_consolidation,individual,30000,60,15.05,whole,Cash,1907
engineer,10,NJ,RENT,70000,Not Verified,16.58,NA,,NA,0,NA,2007,4,13,7,52095,40634,0,0,NA,0,0,0,2,3,7,NA,0,5,47800,9,6,6,2,92,0,0,credit_card,individual,5000,36,9.92,whole,Cash,1908
technical support specialist,2,OH,RENT,31000,Source Verified,5.27,85500,Not Verified,22.43,0,NA,2012,0,4,3,16600,7007,0,0,NA,0,0,1,1,NA,3,0,0,1,6000,2,2,1,0,100,0,0,home_improvement,joint,22000,36,9.43,whole,Cash,1909
truck driver ,3,FL,MORTGAGE,50000,Verified,22.52,NA,,NA,0,82,2009,0,15,12,179787,26164,0,0,82,0,0,2,10,15,12,0,0,4,8900,9,9,8,2,93.3,0,0,home_improvement,individual,8000,36,12.61,fractional,Cash,1910
,NA,PA,RENT,66000,Source Verified,20.75,NA,,NA,0,NA,2008,10,11,8,68077,45961,0,0,NA,0,0,1,5,3,8,0,0,3,14800,7,6,4,0,100,0,0,credit_card,individual,15600,60,13.59,whole,Cash,1911
purchasing,10,PA,RENT,58000,Verified,15.09,NA,,NA,0,NA,1989,3,11,6,40819,22278,0,0,NA,0,1460,1,5,8,6,0,0,3,10500,7,5,4,1,100,0,0,other,individual,12000,36,16.02,whole,Cash,1912
route truck driver,1,VA,MORTGAGE,60495.2,Source Verified,27.24,NA,,NA,0,NA,2004,3,37,21,330254,50442,0,1,NA,0,0,2,13,4,21,0,0,4,34400,24,18,5,2,100,0,1,debt_consolidation,individual,5000,36,9.43,whole,Cash,1913
clinical coordinator,6,CA,RENT,90000,Source Verified,14.01,NA,,NA,0,NA,1999,2,24,19,73900,67101,0,0,NA,0,0,8,3,3,19,0,0,6,22600,15,11,8,0,100,0,0,debt_consolidation,individual,30000,60,10.9,whole,DirectPay,1914
sales,2,WI,MORTGAGE,55000,Not Verified,11.37,NA,,NA,0,NA,2004,1,30,14,273750,18396,0,0,NA,0,0,1,5,7,14,0,0,6,41800,21,12,6,2,100,0,0,debt_consolidation,individual,19000,60,7.34,whole,Cash,1915
it manager,10,WA,MORTGAGE,90000,Not Verified,36.16,NA,,NA,0,44,2002,0,46,19,369078,87468,0,0,NA,0,0,3,5,19,19,0,0,3,26500,30,15,7,3,97.8,0,0,debt_consolidation,individual,21000,60,10.42,whole,Cash,1916
rn-icu,0,AZ,MORTGAGE,75000,Source Verified,6.03,NA,,NA,0,NA,1991,1,20,5,203900,16674,0,0,NA,0,0,1,10,0,5,0,0,2,36000,13,3,2,1,100,0,0,medical,individual,6500,36,7.35,whole,Cash,1917
teacher,10,TX,MORTGAGE,52000,Not Verified,22.78,NA,,NA,0,NA,2006,1,29,12,75898,42121,0,0,NA,0,0,6,4,3,12,0,0,4,24100,7,6,6,0,100,0,0,home_improvement,individual,4000,36,6.07,whole,Cash,1918
support engineer/web designer,10,RI,RENT,45000,Not Verified,17.71,NA,,NA,0,NA,1993,2,13,6,72269,35160,0,0,NA,0,0,2,2,9,6,0,0,3,46500,6,4,3,0,100,0,0,debt_consolidation,individual,18000,60,11.98,whole,Cash,1919
branded editor,2,CA,RENT,58000,Source Verified,17.06,NA,,NA,0,NA,2000,0,27,13,128350,39296,0,0,NA,0,0,1,4,23,13,0,0,6,103700,15,12,7,0,100,0,0,debt_consolidation,individual,30000,36,7.96,whole,DirectPay,1920
project engineer,10,VA,MORTGAGE,120000,Source Verified,4.8,NA,,NA,0,NA,1993,3,19,6,27656,19418,0,1,NA,0,0,1,4,2,6,0,0,1,4200,7,5,1,1,100,0,1,home_improvement,individual,32000,60,14.08,whole,Cash,1921
pipe welder,2,TX,MORTGAGE,70000,Source Verified,17.98,NA,,NA,1,13,2002,0,41,21,230799,35941,0,0,13,0,0,2,6,16,21,0,0,7,30500,25,17,11,2,94.9,0,0,debt_consolidation,individual,30000,60,10.9,whole,Cash,1922
account manager,5,GA,MORTGAGE,88000,Source Verified,14.97,NA,,NA,0,26,1999,5,22,15,98490,51934,0,0,NA,0,824,1,13,1,15,0,0,7,55300,19,14,7,1,90.9,0,0,small_business,individual,8500,36,14.07,whole,Cash,1923
technical writer,0,OH,MORTGAGE,85000,Verified,26.27,NA,,NA,1,7,1982,0,33,23,287054,150247,0,0,NA,0,0,3,4,13,23,0,0,9,69500,22,18,12,5,93.8,0,0,debt_consolidation,individual,30000,60,11.98,whole,Cash,1924
medical assistant ,10,CA,MORTGAGE,59142,Verified,8.79,NA,,NA,0,NA,2005,7,20,6,366262,18237,0,1,NA,0,0,1,0,0,6,0,0,1,3000,10,4,2,3,100,0,1,home_improvement,individual,10000,36,7.35,whole,Cash,1925
,0,CA,MORTGAGE,60000,Source Verified,14.88,NA,,NA,2,7,2003,0,6,5,66939,20308,0,0,NA,0,0,1,0,22,5,0,0,1,36700,5,4,1,0,66.7,0,0,debt_consolidation,individual,18000,36,21.45,whole,Cash,1926
mortgage closer,1,MD,RENT,65000,Not Verified,9.77,NA,,NA,0,NA,2006,2,24,9,89497,99770,0,0,NA,0,0,2,1,0,9,0,0,4,12100,9,7,7,0,100,0,0,credit_card,individual,3200,36,9.92,whole,Cash,1927
owner,10,MO,MORTGAGE,90000,Source Verified,19.49,NA,,NA,0,28,1998,1,27,12,240299,73861,0,0,NA,0,0,2,4,1,12,0,0,2,33500,11,7,3,6,88.9,0,0,small_business,individual,20000,36,6.07,fractional,Cash,1928
contractor,0,CT,RENT,30000,Not Verified,18.84,NA,,NA,0,NA,2013,0,4,2,18572,12111,0,0,NA,0,0,1,1,14,2,0,0,1,7000,2,1,1,0,100,0,0,credit_card,individual,5000,36,7.35,whole,DirectPay,1929
senior engagement lead,10,NJ,OWN,230000,Source Verified,9.19,NA,,NA,0,38,1998,2,20,8,441037,53298,0,0,38,0,0,2,6,3,8,0,0,3,38500,12,4,3,3,72.2,0,0,debt_consolidation,individual,12000,36,10.91,whole,Cash,1930
owner,4,CA,RENT,120000,Not Verified,13.4,NA,,NA,0,NA,2009,2,12,8,89016,49643,0,1,NA,0,1180,1,4,5,8,0,0,2,26400,9,7,3,0,100,0,1,debt_consolidation,individual,10000,36,9.43,whole,Cash,1931
stocker ,4,MO,RENT,30000,Not Verified,24.08,NA,,NA,0,NA,2012,0,7,7,25200,13069,0,1,NA,0,0,1,4,22,7,0,0,3,11600,6,6,5,0,100,0,1,credit_card,individual,9000,36,10.91,whole,Cash,1932
technician ,3,CT,RENT,62000,Not Verified,6.02,NA,,NA,1,10,2008,0,5,4,29100,12253,0,0,NA,0,0,0,3,21,4,0,0,3,29100,5,4,3,0,80,0,0,credit_card,individual,7000,36,11.98,whole,Cash,1933
sr research compliance coordinator,4,TX,MORTGAGE,73460,Not Verified,32.06,NA,,NA,0,46,2000,2,36,31,249602,133520,0,0,NA,0,0,20,3,8,31,0,0,4,22400,10,10,7,1,97.2,0,0,credit_card,individual,14000,36,11.99,whole,Cash,1934
production support,10,OH,MORTGAGE,67600,Source Verified,11.84,NA,,NA,0,56,1996,0,26,8,100550,17016,0,0,56,0,12005,0,1,NA,8,0,0,1,3000,16,7,6,3,96.2,0,0,debt_consolidation,individual,35000,60,12.62,whole,Cash,1935
supervisor,10,CA,MORTGAGE,58000,Not Verified,17.71,NA,,NA,0,66,2006,0,17,6,395750,26178,0,0,66,0,0,1,1,14,6,0,0,2,21000,7,4,4,4,94.1,0,0,other,individual,4800,36,15.04,whole,Cash,1936
software developer ii,4,CA,RENT,85000,Not Verified,13.63,NA,,NA,0,NA,2008,4,11,6,66901,40675,0,0,NA,0,97,3,4,3,6,0,0,2,20000,3,3,3,0,100,0,0,other,individual,4200,36,11.99,whole,Cash,1937
foundation executive,3,IL,MORTGAGE,66000,Verified,36.91,137000,Verified,33.35,0,43,2003,2,34,19,233467,151100,0,0,NA,0,0,7,3,0,19,0,0,4,63200,14,12,5,0,97.1,0,0,credit_card,joint,40000,36,6.08,whole,Cash,1938
sales representative,1,AZ,RENT,52000,Source Verified,28.5,NA,,NA,0,NA,1985,5,43,22,154090,66371,1,0,NA,0,125,2,12,2,22,0,0,5,80100,30,20,7,0,100,0,0,debt_consolidation,individual,12000,60,15.05,whole,Cash,1939
,NA,MI,OWN,40000,Not Verified,30.93,NA,,NA,0,NA,2007,2,22,10,54508,27462,0,0,NA,0,0,4,7,1,10,0,0,1,4900,14,6,2,0,100,0,0,credit_card,individual,3600,36,9.93,fractional,Cash,1940
devops engineer,1,VA,RENT,100000,Source Verified,16.37,NA,,NA,0,NA,2014,2,14,11,91848,24219,0,0,NA,0,0,2,5,7,11,0,0,7,63700,12,9,8,0,100,0,0,debt_consolidation,individual,18000,36,9.44,whole,Cash,1941
administrator,5,TN,OWN,86000,Source Verified,12.46,NA,,NA,0,NA,2003,2,34,18,72100,52581,0,1,NA,0,82,7,12,5,18,0,0,3,16500,22,11,5,2,100,0,1,debt_consolidation,individual,25200,60,17.09,whole,Cash,1942
finance mgr,10,TX,MORTGAGE,101000,Verified,15.8,NA,,NA,3,12,1989,2,31,10,248423,35705,0,0,26,0,8325,3,3,0,10,0,0,3,2700,20,5,5,4,67.7,0,0,home_improvement,individual,25000,60,19.42,whole,Cash,1943
emergency technician ,10,CA,MORTGAGE,70000,Source Verified,12.29,NA,,NA,0,NA,2002,2,35,21,295506,24485,0,1,NA,0,0,0,10,0,21,0,0,9,49800,30,20,10,2,100,0,1,debt_consolidation,individual,4000,36,14.07,whole,Cash,1944
paralegal,10,TN,MORTGAGE,85000,Source Verified,19.95,NA,,NA,0,NA,2003,3,23,15,107363,56328,0,1,NA,0,644,2,4,4,15,0,0,3,36900,14,13,6,3,100,0,1,debt_consolidation,individual,15000,60,15.05,whole,Cash,1945
head baseball coach,5,IL,MORTGAGE,75000,Source Verified,19.78,NA,,NA,4,5,2006,0,56,11,496716,115133,0,0,67,0,0,2,5,15,11,0,0,4,26500,17,8,4,4,85.7,0,0,home_improvement,individual,6000,36,11.99,fractional,Cash,1946
operator ,10,VA,MORTGAGE,99000,Not Verified,7.89,NA,,NA,0,NA,1996,2,11,5,28300,22380,0,0,NA,0,0,1,0,1,5,NA,0,2,17300,7,4,3,0,100,0,0,debt_consolidation,individual,12000,36,9.44,whole,Cash,1947
director,5,TX,MORTGAGE,80000,Source Verified,24.09,NA,,NA,1,12,1982,1,29,13,120808,101746,0,1,80,0,427,5,2,11,13,0,0,3,8500,10,8,5,0,89.7,1,0,credit_card,individual,16000,60,19.42,whole,Cash,1948
nursing supervisor ,1,AZ,RENT,66000,Verified,2.44,NA,,NA,0,NA,2000,3,30,8,87000,7699,0,0,NA,0,0,0,4,1,8,0,0,4,81200,20,8,4,0,100,0,0,major_purchase,individual,21000,36,7.35,whole,Cash,1949
operations supervisor,10,TX,MORTGAGE,193000,Not Verified,14.28,NA,,NA,0,NA,2009,8,19,9,359437,115437,0,0,NA,0,0,3,8,7,9,0,0,2,15000,6,5,4,1,100,0,0,credit_card,individual,8000,36,15.04,whole,Cash,1950
senior teller,4,ME,RENT,33000,Source Verified,27.2,NA,,NA,0,NA,2004,0,23,6,48470,30449,0,0,NA,0,0,1,2,15,6,0,0,3,35500,12,5,3,0,100,0,0,credit_card,individual,20000,60,7.96,whole,DirectPay,1951
radiology technologist,7,KS,RENT,58700,Not Verified,33.16,NA,,NA,0,NA,2003,6,43,17,128965,100361,0,0,NA,0,0,11,7,4,17,0,0,2,10000,11,6,3,0,100,0,0,debt_consolidation,individual,15000,36,13.58,whole,Cash,1952
registered nurse,5,OH,RENT,75000,Source Verified,21.36,NA,,NA,0,NA,2007,0,15,6,66306,34417,0,0,NA,0,263,2,1,NA,6,0,0,2,16500,12,4,4,0,100,0,0,debt_consolidation,individual,26000,36,11.99,whole,Cash,1953
teacher,6,VA,RENT,45000,Not Verified,12.8,71000,Not Verified,27.18,0,NA,2003,0,14,5,29356,11611,0,0,NA,0,0,4,1,15,5,0,0,1,9600,2,1,1,0,100,0,0,medical,joint,2000,36,7.96,whole,Cash,1954
housekeeper,1,FL,RENT,25000,Source Verified,16.47,NA,,NA,0,NA,2002,0,19,9,17201,9784,0,1,NA,0,0,5,2,NA,9,0,0,2,4500,9,4,2,1,70.6,0,1,debt_consolidation,individual,8000,36,10.9,fractional,Cash,1955
sales,10,NC,MORTGAGE,67000,Verified,15.48,NA,,NA,5,7,2010,1,24,10,164592,22029,0,0,7,0,0,3,4,3,10,0,0,2,8100,13,6,2,1,73.9,0,0,debt_consolidation,individual,10000,36,18.45,whole,Cash,1956
vice president default services,2,TX,MORTGAGE,140000,Source Verified,32.06,NA,,NA,0,NA,1999,0,40,22,650240,150484,0,0,NA,0,0,4,5,23,22,0,0,6,203800,27,17,6,4,100,0,0,debt_consolidation,individual,35000,60,10.9,whole,Cash,1957
maintenance porter,10,VA,MORTGAGE,67000,Not Verified,15.19,NA,,NA,0,NA,2007,2,25,23,250788,14282,0,1,NA,0,0,2,6,6,23,0,0,5,21900,20,19,9,2,100,0,1,home_improvement,individual,7000,36,6.07,fractional,Cash,1958
dir strategic accounts,2,CA,MORTGAGE,185000,Not Verified,28.52,NA,,NA,1,20,1989,0,16,9,614223,98736,0,0,NA,0,0,4,2,NA,9,0,0,2,34300,6,3,3,2,92.9,0,0,debt_consolidation,individual,35000,36,9.44,whole,Cash,1959
customer service,6,OH,MORTGAGE,39000,Verified,12.92,NA,,NA,0,51,2005,1,13,9,173824,32627,0,0,51,0,0,1,6,7,9,0,0,5,12000,7,7,7,3,84.6,0,0,credit_card,individual,12000,60,12.62,whole,DirectPay,1960
sales,3,WV,MORTGAGE,171000,Not Verified,13.93,NA,,NA,0,NA,2001,1,31,16,274750,79336,0,0,NA,0,228,3,3,4,16,0,0,4,28300,19,12,5,1,100,0,0,debt_consolidation,individual,26100,60,10.9,whole,Cash,1961
sensor operator,0,OR,RENT,45000,Source Verified,13.2,NA,,NA,0,NA,2013,0,3,3,18200,15992,0,0,NA,0,69,0,1,NA,3,0,0,2,15500,3,3,3,0,100,0,0,credit_card,individual,16000,36,15.04,fractional,DirectPay,1962
rx lab tecg,5,FL,RENT,33000,Not Verified,5.78,NA,,NA,0,NA,2005,0,12,9,19900,5546,0,0,NA,0,2243,0,5,NA,9,0,0,2,6600,12,9,5,0,100,0,0,car,individual,6000,36,10.42,fractional,Cash,1963
assistant service department manager ,10,CA,RENT,81000,Not Verified,22.61,NA,,NA,0,NA,2001,1,18,15,127098,39781,0,0,NA,0,0,5,4,7,15,0,0,7,46100,12,10,8,0,100,0,0,credit_card,individual,10000,60,6.72,whole,DirectPay,1964
teacher,10,GA,RENT,82500,Not Verified,26.98,NA,,NA,0,NA,2002,2,40,20,122475,77744,0,1,NA,0,0,5,12,5,20,0,0,8,21400,23,15,8,1,100,0,1,debt_consolidation,individual,24000,60,15.05,whole,Cash,1965
billing clerk,10,PA,RENT,53045,Verified,21.04,88045,Source Verified,13.33,0,52,2006,2,16,7,31928,18087,0,0,52,0,665,2,4,0,7,0,0,2,2100,6,5,4,0,93.8,0,0,vacation,joint,5000,36,21.85,fractional,Cash,1966
machinen operarto cnc,10,CA,RENT,60000,Source Verified,6.86,NA,,NA,0,NA,2008,4,13,6,54175,6316,0,0,NA,0,0,1,5,1,6,0,0,1,12100,6,5,2,0,100,0,0,other,individual,20400,36,6.07,whole,Cash,1967
office manager/legal assistant ,8,NV,RENT,62400,Source Verified,39.27,NA,,NA,0,NA,2007,0,33,21,103428,34670,0,1,NA,0,0,4,6,24,21,0,0,4,22200,22,17,8,0,100,0,1,debt_consolidation,individual,20000,36,21.85,whole,Cash,1968
clinical manager,6,IL,MORTGAGE,91000,Source Verified,15.88,NA,,NA,2,20,2011,0,19,12,300957,43540,0,0,NA,0,0,1,0,14,12,0,0,5,10300,15,10,8,1,73.7,0,0,other,individual,10000,36,14.08,whole,Cash,1969
,NA,TX,OWN,62000,Verified,17.91,NA,,NA,0,34,1987,0,32,18,78139,26536,0,0,NA,0,0,1,10,NA,18,0,0,4,9800,18,15,12,2,93.8,0,0,debt_consolidation,individual,23000,60,24.84,whole,Cash,1970
,NA,OR,MORTGAGE,47000,Source Verified,12.67,NA,,NA,0,NA,2006,0,11,6,183614,3633,0,0,NA,0,0,0,3,16,6,NA,0,3,3450,7,5,5,4,100,0,0,debt_consolidation,individual,3000,36,13.59,whole,Cash,1971
manager,0,MN,RENT,55000,Not Verified,10.74,NA,,NA,0,NA,2010,9,9,4,37985,26135,0,0,NA,0,0,1,2,7,4,0,0,1,12300,4,2,1,0,100,0,0,credit_card,individual,6000,36,16.02,whole,Cash,1972
coder,1,FL,RENT,52000,Not Verified,25.32,NA,,NA,0,NA,2003,0,23,8,48107,25689,0,1,NA,0,8051,5,1,15,8,0,0,2,5200,8,3,2,0,100,0,1,debt_consolidation,individual,13000,36,15.05,whole,Cash,1973
,NA,NJ,RENT,20000,Not Verified,9.9,NA,,NA,0,NA,2014,1,7,5,6500,4578,0,0,NA,0,0,1,2,7,5,0,0,2,3500,6,4,2,0,100,0,0,credit_card,individual,3000,36,17.09,fractional,Cash,1974
pca,5,NY,RENT,37000,Source Verified,22.61,NA,,NA,0,58,2007,4,6,4,40502,36878,0,0,58,0,0,1,5,4,4,0,0,1,1900,4,3,2,0,83.3,0,0,other,individual,4000,36,18.06,whole,Cash,1975
social worker sercoordinator,10,AL,RENT,40000,Source Verified,22.34,NA,,NA,0,35,1998,1,63,23,59475,52430,0,0,NA,0,0,17,2,1,23,0,0,5,11900,10,6,6,0,98.4,0,0,debt_consolidation,individual,12000,36,6.72,whole,Cash,1976
teacher,7,OH,MORTGAGE,70000,Source Verified,14.51,NA,,NA,0,35,1993,4,33,15,360585,173731,0,0,NA,0,0,4,7,3,15,0,0,3,12000,12,9,7,2,87.5,0,0,debt_consolidation,individual,6000,36,9.44,fractional,Cash,1977
paraprofessional 111 (therapeutic ),10,FL,OWN,25000,Source Verified,36.87,NA,,NA,0,NA,2010,0,21,17,83300,19148,0,1,NA,0,0,2,6,16,17,0,0,6,51800,19,15,12,0,100,0,1,credit_card,individual,5000,36,11.98,fractional,Cash,1978
fleet manager,6,CA,RENT,80000,Not Verified,19.97,NA,,NA,0,NA,2001,0,12,8,53150,26013,0,0,NA,0,0,1,0,NA,8,0,0,4,28500,11,7,5,0,100,0,0,credit_card,individual,30000,60,11.99,whole,Cash,1979
,NA,MI,OWN,0,Source Verified,NA,90000,Source Verified,8.92,0,NA,2004,1,15,5,47156,40228,0,1,NA,0,0,2,3,0,5,0,0,1,1700,5,3,2,0,100,0,1,other,joint,10000,36,10.42,whole,Cash,1980
dispatch manager,9,VA,MORTGAGE,60000,Not Verified,10.44,NA,,NA,0,NA,2001,1,13,8,446000,16298,0,1,NA,0,0,1,1,11,8,0,0,4,19700,7,6,5,1,100,0,1,credit_card,individual,6400,36,6.72,whole,Cash,1981
architect,10,TX,MORTGAGE,108000,Not Verified,34.84,NA,,NA,0,NA,1989,7,46,22,386632,114121,0,0,NA,0,0,5,10,8,22,0,0,7,54200,26,15,11,2,100,0,0,home_improvement,individual,25000,60,9.44,whole,Cash,1982
general manger,10,IL,MORTGAGE,95000,Source Verified,14.05,NA,,NA,3,7,2004,1,32,12,176970,21363,0,0,13,0,0,0,2,5,12,0,0,3,27900,24,10,7,2,87.5,0,0,debt_consolidation,individual,10000,36,19.03,whole,Cash,1983
ceo,4,CA,RENT,250000,Source Verified,1.12,NA,,NA,0,75,2000,0,12,9,27800,5459,0,0,NA,0,0,0,3,19,9,0,0,5,20200,10,8,6,0,100,0,0,debt_consolidation,individual,30000,36,10.9,whole,Cash,1984
sr toll collector ,10,IL,MORTGAGE,67000,Not Verified,1.56,NA,,NA,0,88,2006,3,17,7,104110,5741,0,0,88,0,438,0,5,2,7,0,0,2,17000,12,6,3,1,94.1,0,0,car,individual,9000,36,9.43,whole,Cash,1985
coverage partner,10,TX,OWN,28000,Not Verified,29.66,NA,,NA,0,NA,2006,0,11,8,51900,21739,0,0,NA,0,0,1,0,NA,8,0,0,3,33200,9,7,4,0,100,0,0,credit_card,individual,16000,36,10.42,whole,Cash,1986
,NA,NY,RENT,15000,Source Verified,6.4,NA,,NA,2,18,2011,1,10,5,4500,359,0,0,18,0,0,0,5,4,5,0,0,3,4000,5,5,3,0,70,0,0,car,individual,4200,36,20.39,fractional,Cash,1987
postdoctoral fellow,2,MA,RENT,47500,Source Verified,32.88,NA,,NA,0,NA,1998,2,57,27,200526,123747,0,0,NA,0,0,5,9,8,27,0,0,4,74900,41,22,4,0,100,0,0,debt_consolidation,individual,9800,36,9.44,whole,Cash,1988
business development associate,5,FL,RENT,70000,Not Verified,3.82,NA,,NA,0,NA,1996,3,7,5,43000,12090,0,0,NA,0,0,0,3,0,5,0,0,2,43000,6,5,2,0,100,0,0,debt_consolidation,individual,7500,36,17.09,whole,Cash,1989
information technology,10,TX,MORTGAGE,125000,Source Verified,12.03,NA,,NA,0,NA,2001,3,30,12,134917,47939,0,0,NA,0,57,3,7,6,12,0,0,2,53200,14,9,3,5,100,0,0,debt_consolidation,individual,21000,36,6.71,whole,Cash,1990
officer,10,GA,RENT,51000,Source Verified,17.08,NA,,NA,0,NA,1994,5,29,14,49100,9274,0,1,NA,0,0,1,10,4,14,0,0,1,26300,23,13,7,2,100,0,1,credit_card,individual,16500,60,15.05,whole,Cash,1991
management analyst,10,VA,MORTGAGE,110000,Verified,31.89,NA,,NA,0,NA,1999,1,30,22,220975,115250,0,0,NA,0,0,4,5,4,22,0,0,9,85600,23,18,13,1,100,0,0,credit_card,individual,37025,36,7.96,whole,Cash,1992
claims adjuster,3,NC,MORTGAGE,85000,Source Verified,20.23,NA,,NA,0,NA,2000,1,29,17,107874,49041,0,0,NA,0,0,5,9,3,17,0,0,8,34000,14,11,8,2,100,0,0,debt_consolidation,individual,20000,60,17.47,whole,Cash,1993
